superalimento_id,nombre,nombre_cientifico,categoria_id,descripcion,origen,forma_consumo,disponibilidad,precio_relativo,precauciones,funcion_principal,tipo_alimento,proveedor,preciokilo,calorias,proteinas,carbohidratos,grasas_totales,grasas_saturadas,grasas_insaturadas,omega_3,omega_6,fibra,azucares,indice_glucemico,unidad_medida,porcion_referencia,vitamina_a,vitamina_c,vitamina_d,vitamina_e,vitamina_k,vitamina_b1,vitamina_b2,vitamina_b3,vitamina_b5,vitamina_b6,vitamina_b9,vitamina_b12,calcio,hierro,magnesio,fosforo,potasio,sodio,zinc,cobre,manganeso,selenio,yodo,polifenoles,flavonoides,carotenoides,antocianinas,capacidad_antioxidante_total,tipo_procesamiento,dosis_min_diaria,dosis_max_diaria,unidad_dosis,fuente_cientifica_dosis,clasificacion,sinergias,antisinergias,biodisponibilidad_porcentaje,claims_seremi,claims_referencia
87,azafran,crocus sativus l,otro,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,114.0,250.0,8.0,0.0,0.0,0.0,0.0,0.5,0.0,20.0,0.0,15.0,g,100,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,40.0,alimento_completo,,,,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
88,bailahuen,haploppappus baylahuen,otro,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,115.0,20.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,2.0,0.0,15.0,g,100,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,10.0,alimento_completo,,,,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
89,benzoato de sodio,c6h5coona,otro,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,g,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2.0,alimento_completo,100.0,500.0,,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
90,beta alanina,c3h7no2,otro,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,117.0,380.0,95.0,0.0,0.0,0.0,0.0,0.1,0.0,2.0,0.0,15.0,g,100,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,10.0,alimento_completo,500.0,3000.0,,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
91,betacaroteno,c40h56,hierba,planta medicinal utilizada tradicionalmente por sus propiedades terapeuticas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,hoja / infusion,fnl,118.0,5.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,2.0,0.0,0.0,g,100,100000.0,0.3,0.0,0.0,0.0,0.007,0.06,0.03,0.0,0.005,5.0,0.0,0.0,0.02,1.0,1.0,8.0,1.0,0.01,0.004,0.18,0.0,,89,12.0,0.0,0.0,1253.0,materia_prima,6.0,30.0,,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
92,betaglucanos de avena,"1,3/1,6 glucan",otro,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,119.0,300.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,70.0,0.0,15.0,g,100,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,10.0,alimento_completo,,,,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
93,bicarbonato de sodio,nahco₃,otro,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,g,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27000.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2.0,alimento_completo,0.03,10.0,mg,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
94,biotina,c10h16n2o3s,otro,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,121.0,0.0,2.0,10.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,15.0,g,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,5.0,alimento_completo,0.5,2.0,g,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
95,boldo,pumus boldus,hierba,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,122.0,50.0,2.0,0.0,0.0,0.0,0.0,0.1,0.0,5.0,0.0,15.0,g,100,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,15.0,alimento_completo,,,,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
96,borraja,borago officinalis,otro,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,123.0,228.0,19.6,57.9,13.7,0.0,0.0,0.1,0.0,2.0,0.0,15.0,g,100,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,10.0,alimento_completo,5.0,40.0,g,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
97,cacao en polvo,theobroma cacao,otro,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,polvo,fnl,124.0,250.0,8.0,0.0,0.0,0.0,0.0,0.5,0.0,20.0,0.0,15.0,g,100,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,40.0,materia_prima,,,,,superalimento,,,80,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
98,cafe verde molido,coffea arabica,otro,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🧬 energizante,otro,fnl,125.0,1.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,2.0,0.0,0.0,g,100,0.0,0.3,0.0,0.0,0.0,0.007,0.06,0.03,0.0,0.005,5.0,0.0,0.0,0.02,1.0,1.0,8.0,1.0,0.01,0.004,0.18,0.0,,89,12.0,0.0,0.0,1253.0,materia_prima,,,,,alimento_comun,,hierro (taninos reducen absorcion -40%),60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
99,cafeina anhidra,c8h10n4o2,otro,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🧬 energizante,otro,fnl,126.0,20.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,2.0,0.0,15.0,g,100,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,10.0,alimento_completo,50.0,400.0,,,alimento_comun,,hierro (taninos reducen absorcion -40%),60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
100,caigua,cyclanthera pedata,otro,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,127.0,330.0,2.8,78.0,0.8,0.0,0.0,0.1,0.0,2.0,0.0,15.0,g,100,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,10.0,alimento_completo,5.0,15.0,g,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
101,calafate polvo,berberis microphylla,hierba,planta medicinal utilizada tradicionalmente por sus propiedades terapeuticas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,polvo,fnl,128.0,1.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,10.0,0.0,0.0,g,100,0.0,0.3,0.0,0.0,0.0,0.007,0.06,0.03,0.0,0.005,5.0,0.0,0.0,0.02,1.0,1.0,8.0,1.0,0.01,0.004,0.18,0.0,,89,12.0,0.0,0.0,1253.0,materia_prima,200.0,2500.0,mg,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
102,calcio carbonato,caco3,vitamina_mineral,mineral esencial para diversas funciones corporales.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,g,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2.0,alimento_completo,200.0,2500.0,mg,,alimento_comun,vitamina d (+30% absorcion),"hierro (compiten por absorcion), oxalatos (reducen absorcion)",60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
103,calcio citrato,ca3(c6h5o7)2,vitamina_mineral,mineral esencial para diversas funciones corporales.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,g,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2.0,alimento_completo,200.0,2500.0,,,alimento_comun,vitamina d (+30% absorcion),"hierro (compiten por absorcion), oxalatos (reducen absorcion)",60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
104,calendula flor en polvo,calendula,otro,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,polvo,fnl,131.0,320.0,2.5,75.0,0.5,0.0,0.0,0.1,0.0,2.0,0.0,15.0,g,100,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,10.0,materia_prima,1.0,5.0,g,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
105,camucamu,myrciaria dubia,fruta,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,132.0,330.0,3.0,0.0,0.0,0.0,0.0,0.2,0.0,10.0,0.0,15.0,g,100,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,30.0,alimento_completo,,,,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
106,carbon activado,carbo activatus,otro,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,135.0,311.0,10.8,68.5,6.7,0.0,0.0,0.1,0.0,2.0,0.0,15.0,g,100,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,10.0,alimento_completo,0.5,3.0,g,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
107,cardamomo,elettaria cardamomum,otro,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,136.0,250.0,8.0,0.0,0.0,0.0,0.0,0.5,0.0,20.0,0.0,15.0,g,100,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,40.0,alimento_completo,,,,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
108,castano,aesculus hippocastanum,otro,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,137.0,45.0,1.5,9.0,0.3,0.0,0.0,0.1,0.0,2.0,0.0,15.0,g,100,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,10.0,alimento_completo,0.5,2.0,g,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
109,cedron,aloysia citrodora,otro,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,139.0,50.0,2.0,0.0,0.0,0.0,0.0,0.1,0.0,5.0,0.0,15.0,g,100,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,15.0,alimento_completo,,,,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
110,cetona de frambuesa,c10h12o2,otro,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,140.0,20.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,2.0,0.0,15.0,g,100,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,10.0,alimento_completo,,,,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
111,chitosan,quitosano,otro,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,142.0,20.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,2.0,0.0,15.0,g,100,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,10.0,alimento_completo,,,,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
112,cloruro de sodio,nacl,otro,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,g,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2.0,alimento_completo,100.0,500.0,,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
113,cobre sulfato de cobre,cuso4,vitamina_mineral,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,g,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2.0,alimento_completo,0.5,10.0,,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
114,cochayuyo,durvillaea antarctica,alga,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,146.0,20.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,2.0,0.0,15.0,g,100,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,10.0,alimento_completo,,,,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
115,coenzima q10,ubiquinona,otro,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,147.0,10.0,0.5,0.0,0.0,0.0,0.0,0.1,0.0,2.0,0.0,15.0,g,100,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,10.0,alimento_completo,30.0,200.0,,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
116,coenzima q10 liposomal,ubiquinona,otro,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,148.0,10.0,0.5,33.1,0.5,0.0,0.0,0.1,0.0,2.0,0.0,15.0,g,100,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,10.0,alimento_completo,5.0,20.0,g,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
117,colageno hidrolizado bajo peso molecular,,proteina,"proteina estructural importante para la piel, articulaciones y tejidos.",global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,149.0,360.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,g,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,5.0,alimento_completo,5.0,20.0,g,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
118,colageno hidrolizado maracuya,,proteina,"proteina estructural importante para la piel, articulaciones y tejidos.",global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,150.0,360.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,g,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,5.0,alimento_completo,5.0,20.0,g,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
119,colageno hidrolizado limon,,proteina,"proteina estructural importante para la piel, articulaciones y tejidos.",global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,151.0,360.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,g,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,5.0,alimento_completo,5.0,20.0,g,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
120,colageno hidrolizado manzana,,proteina,"proteina estructural importante para la piel, articulaciones y tejidos.",global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,152.0,360.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,g,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,5.0,alimento_completo,5.0,20.0,g,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
121,colageno hidrolizado berries,,proteina,"proteina estructural importante para la piel, articulaciones y tejidos.",global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,153.0,360.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,g,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,5.0,alimento_completo,5.0,20.0,g,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
122,colageno marino,,proteina,"proteina estructural importante para la piel, articulaciones y tejidos.",global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,154.0,360.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,g,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,5.0,alimento_completo,5.0,20.0,g,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
123,colageno porcino,,proteina,"proteina estructural importante para la piel, articulaciones y tejidos.",global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,155.0,360.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,g,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,5.0,alimento_completo,5.0,20.0,g,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
124,colageno peptan,,proteina,"proteina estructural importante para la piel, articulaciones y tejidos.",global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,156.0,360.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,g,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,5.0,alimento_completo,5.0,20.0,g,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
125,colageno no desnaturalizado tipo ii,,proteina,"proteina estructural importante para la piel, articulaciones y tejidos.",global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,157.0,360.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,g,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,5.0,alimento_completo,5000.0,15000.0,,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
126,colina bitartrato,(ch3)3n+ch2ch2ohx,otro,ingrediente natural con propiedades nutricionales beneficiosas.,global,"polvo, capsula o extracto",todo el ano,2,consultar con profesional de la salud antes del consumo,🥬 multinutriente,otro,fnl,158.0,10.0,0.5,44.2,22.3,0.0,0.0,0.1,0.0,2.0,0.0,15.0,g,100,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,10.0,alimento_completo,0.5,3.0,g,,alimento_comun,,,60,bajo_en_grasa|bajo_en_sodio|bajo_en_calorias|libre_de_grasa,por_100g
